Timestamp,BATTERY_HEALTH_COLD,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_LEVEL
1701263684944,-2147483648,-903319,18
1701263685050,-2147483648,-903319,18
1701263685153,-2147483648,-903319,18
1701263685257,-2147483648,-903319,18
1701263685359,-2147483648,-903319,18
1701263685462,-2147483648,-903319,18
1701263685566,-2147483648,-884276,18
1701263685669,-2147483648,-884276,18
1701263685774,-2147483648,-884276,18
1701263685876,-2147483648,-884276,18
1701263685980,-2147483648,-884276,18
1701263686083,-2147483648,-884276,18
1701263686186,-2147483648,-884276,18
1701263686291,-2147483648,-884276,18
1701263686395,-2147483648,-884276,18
1701263686499,-2147483648,-884276,18
1701263686601,-2147483648,-870605,18
1701263686704,-2147483648,-870605,18
1701263686807,-2147483648,-870605,18
1701263686910,-2147483648,-870605,18
1701263687014,-2147483648,-870605,18
1701263687117,-2147483648,-870605,18
1701263687220,-2147483648,-870605,18
1701263687323,-2147483648,-870605,18
1701263687425,-2147483648,-870605,18
1701263687530,-2147483648,-858397,18
1701263687633,-2147483648,-858397,18
1701263687737,-2147483648,-858397,18
1701263687841,-2147483648,-858397,18
1701263687944,-2147483648,-858397,18
1701263688046,-2147483648,-858397,18
1701263688153,-2147483648,-858397,18
1701263688257,-2147483648,-858397,18
1701263688360,-2147483648,-858397,18
1701263688463,-2147483648,-858397,18
1701263688566,-2147483648,-819335,18
1701263688670,-2147483648,-819335,18
1701263688774,-2147483648,-819335,18
1701263688878,-2147483648,-819335,18
1701263688981,-2147483648,-819335,18
1701263689084,-2147483648,-819335,18
1701263689187,-2147483648,-819335,18
1701263689296,-2147483648,-819335,18
1701263689399,-2147483648,-819335,18
1701263689501,-2147483648,-819335,18
1701263689604,-2147483648,-877440,18
1701263689707,-2147483648,-877440,18
1701263689812,-2147483648,-877440,18
1701263689915,-2147483648,-877440,18
1701263690018,-2147483648,-877440,18
1701263690121,-2147483648,-877440,18
1701263690224,-2147483648,-877440,18
1701263690327,-2147483648,-877440,18
1701263690431,-2147483648,-877440,18
1701263690535,-2147483648,-856933,18
1701263690638,-2147483648,-856933,18
1701263690741,-2147483648,-856933,18
1701263690844,-2147483648,-856933,18
1701263690946,-2147483648,-856933,18
1701263691051,-2147483648,-856933,18
1701263691155,-2147483648,-856933,18
1701263691258,-2147483648,-856933,18
1701263691361,-2147483648,-856933,18
1701263691463,-2147483648,-856933,18
1701263691566,-2147483648,-842773,18
1701263691669,-2147483648,-842773,18
1701263691773,-2147483648,-842773,18
1701263691875,-2147483648,-842773,18
1701263691978,-2147483648,-842773,18
1701263692082,-2147483648,-842773,18
1701263692184,-2147483648,-842773,18
1701263692289,-2147483648,-842773,18
1701263692392,-2147483648,-842773,18
1701263692495,-2147483648,-842773,18
1701263692598,-2147483648,-858886,18
1701263692701,-2147483648,-858886,18
1701263692804,-2147483648,-858886,18
1701263692907,-2147483648,-858886,18
1701263693012,-2147483648,-858886,18
1701263693115,-2147483648,-858886,18
1701263693217,-2147483648,-858886,18
1701263693321,-2147483648,-858886,18
1701263693424,-2147483648,-858886,18
1701263693527,-2147483648,-859374,18
1701263693632,-2147483648,-859374,18
1701263693735,-2147483648,-859374,18
1701263693838,-2147483648,-859374,18
1701263693940,-2147483648,-859374,18
1701263694046,-2147483648,-859374,18
1701263694148,-2147483648,-859374,18
1701263694253,-2147483648,-859374,18
1701263694356,-2147483648,-859374,18
1701263694459,-2147483648,-859374,18
1701263694562,-2147483648,-870605,18
1701263694664,-2147483648,-870605,18
1701263694774,-2147483648,-870605,18
1701263694879,-2147483648,-870605,18
1701263694981,-2147483648,-870605,18
1701263695084,-2147483648,-870605,18
1701263695187,-2147483648,-870605,18
1701263695292,-2147483648,-870605,18
1701263695396,-2147483648,-870605,18
1701263695499,-2147483648,-880370,18
1701263695603,-2147483648,-880370,18
1701263695705,-2147483648,-880370,18
1701263695811,-2147483648,-880370,18
1701263695914,-2147483648,-880370,18
1701263696017,-2147483648,-880370,18
1701263696120,-2147483648,-880370,18
1701263696223,-2147483648,-880370,18
1701263696327,-2147483648,-880370,18
1701263696431,-2147483648,-880370,18
1701263696535,-2147483648,-911620,18
1701263696638,-2147483648,-911620,18
1701263696741,-2147483648,-911620,18
1701263696844,-2147483648,-911620,18
1701263696946,-2147483648,-911620,18
1701263697052,-2147483648,-911620,18
1701263697154,-2147483648,-911620,18
1701263697258,-2147483648,-911620,18
1701263697361,-2147483648,-911620,18
1701263697464,-2147483648,-911620,18
1701263697567,-2147483648,-899901,18
1701263697671,-2147483648,-899901,18
1701263697775,-2147483648,-899901,18
1701263697878,-2147483648,-899901,18
1701263697981,-2147483648,-899901,18
1701263698084,-2147483648,-899901,18
1701263698187,-2147483648,-899901,18
1701263698292,-2147483648,-899901,18
